,sessionID,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,userID,WhPerMile,kWhRequested,milesRequested,minutesAvailable,modifiedAt,paymentRequired,requestedDeparture,cluster
4489,2_39_130_31_2018-07-11 15:11:12.647801,"Wed, 11 Jul 2018 15:11:13 GMT","Wed, 11 Jul 2018 23:47:55 GMT","Wed, 11 Jul 2018 23:04:57 GMT",30.486,000000162,340.0,30.6,90.0,420.0,"Wed, 11 Jul 2018 15:11:43 GMT",True,"Wed, 11 Jul 2018 22:11:13 GMT",1.0
5333,2_39_79_383_2018-07-23 22:30:44.965910,"Mon, 23 Jul 2018 22:30:45 GMT","Tue, 24 Jul 2018 00:12:24 GMT","Tue, 24 Jul 2018 00:12:11 GMT",8.874,000000167,250.0,25.0,100.0,163.0,"Mon, 23 Jul 2018 22:31:17 GMT",True,"Tue, 24 Jul 2018 01:13:45 GMT",0.0
5923,2_39_131_30_2018-07-31 23:54:07.294444,"Tue, 31 Jul 2018 23:54:07 GMT","Wed, 01 Aug 2018 01:36:47 GMT","Wed, 01 Aug 2018 01:36:34 GMT",8.928,000000216,250.0,25.0,100.0,103.0,"Tue, 31 Jul 2018 23:56:59 GMT",True,"Wed, 01 Aug 2018 01:37:07 GMT",2.0
5973,2_39_126_20_2018-08-01 16:27:31.349505,"Wed, 01 Aug 2018 16:27:31 GMT","Thu, 02 Aug 2018 02:58:11 GMT","Thu, 02 Aug 2018 02:58:06 GMT",33.813,000000216,250.0,50.0,200.0,573.0,"Wed, 01 Aug 2018 16:28:26 GMT",True,"Thu, 02 Aug 2018 02:00:31 GMT",2.0
5997,2_39_131_30_2018-08-01 21:23:55.541878,"Wed, 01 Aug 2018 21:23:56 GMT","Thu, 02 Aug 2018 00:09:48 GMT","Thu, 02 Aug 2018 00:09:38 GMT",6.327,000000022,350.0,15.05,43.0,187.0,"Wed, 01 Aug 2018 21:24:57 GMT",True,"Thu, 02 Aug 2018 00:30:56 GMT",2.0
6044,2_39_130_31_2018-08-02 15:33:08.860772,"Thu, 02 Aug 2018 15:33:09 GMT","Thu, 02 Aug 2018 23:59:44 GMT","Thu, 02 Aug 2018 23:59:35 GMT",15.865,000000162,340.0,34.0,100.0,1.0,"Thu, 02 Aug 2018 15:37:31 GMT",True,"Thu, 02 Aug 2018 15:34:09 GMT",1.0
6072,2_39_78_361_2018-08-02 19:03:05.414482,"Thu, 02 Aug 2018 19:03:05 GMT","Fri, 03 Aug 2018 05:50:14 GMT","Fri, 03 Aug 2018 05:50:09 GMT",45.398,000000058,300.0,78.0,260.0,689.0,"Thu, 02 Aug 2018 19:07:58 GMT",True,"Fri, 03 Aug 2018 06:32:05 GMT",1.0
6080,2_39_125_559_2018-08-02 23:21:23.796734,"Thu, 02 Aug 2018 23:21:24 GMT","Fri, 03 Aug 2018 00:59:37 GMT","Fri, 03 Aug 2018 00:59:31 GMT",7.87,000000222,400.0,40.0,100.0,223.0,"Thu, 02 Aug 2018 23:21:29 GMT",True,"Fri, 03 Aug 2018 03:04:24 GMT",0.0
6156,2_39_78_360_2018-08-03 21:29:38.840840,"Fri, 03 Aug 2018 21:29:39 GMT","Fri, 03 Aug 2018 22:31:34 GMT","Fri, 03 Aug 2018 22:31:26 GMT",1.901,000000222,259.0,75.11,290.0,130.0,"Fri, 03 Aug 2018 21:30:32 GMT",True,"Fri, 03 Aug 2018 23:39:39 GMT",0.0
6194,2_39_129_17_2018-08-04 07:08:49.517585,"Sat, 04 Aug 2018 07:08:50 GMT","Sat, 04 Aug 2018 22:09:49 GMT","Sat, 04 Aug 2018 10:21:59 GMT",18.614,000000067,250.0,60.0,240.0,408.0,"Sat, 04 Aug 2018 07:09:00 GMT",True,"Sat, 04 Aug 2018 13:56:50 GMT",1.0
6343,2_39_130_31_2018-08-06 16:38:09.453128,"Mon, 06 Aug 2018 16:38:09 GMT","Tue, 07 Aug 2018 02:16:32 GMT","Tue, 07 Aug 2018 01:45:55 GMT",50.525,000000216,250.0,37.5,150.0,642.0,"Mon, 06 Aug 2018 16:38:56 GMT",True,"Tue, 07 Aug 2018 03:20:09 GMT",2.0
6432,2_39_139_28_2018-08-07 17:04:42.019185,"Tue, 07 Aug 2018 17:04:42 GMT","Wed, 08 Aug 2018 00:15:37 GMT","Wed, 08 Aug 2018 00:15:25 GMT",23.567,000000162,340.0,30.6,90.0,27.0,"Tue, 07 Aug 2018 17:07:49 GMT",True,"Tue, 07 Aug 2018 17:31:42 GMT",1.0
6500,2_39_88_24_2018-08-08 16:56:25.963057,"Wed, 08 Aug 2018 16:56:26 GMT","Thu, 09 Aug 2018 00:04:26 GMT","Thu, 09 Aug 2018 00:04:10 GMT",39.375,000000216,250.0,50.0,200.0,578.0,"Wed, 08 Aug 2018 16:57:06 GMT",True,"Thu, 09 Aug 2018 02:34:26 GMT",2.0
6556,2_39_79_380_2018-08-09 13:45:27.233039,"Thu, 09 Aug 2018 13:45:27 GMT","Thu, 09 Aug 2018 18:35:45 GMT","Thu, 09 Aug 2018 15:29:52 GMT",9.015,000000066,400.0,16.0,40.0,526.0,"Thu, 09 Aug 2018 13:46:23 GMT",True,"Thu, 09 Aug 2018 22:31:27 GMT",1.0
6562,2_39_139_28_2018-08-09 15:09:37.603904,"Thu, 09 Aug 2018 15:09:38 GMT","Thu, 09 Aug 2018 23:44:01 GMT","Thu, 09 Aug 2018 23:40:12 GMT",30.397,000000162,340.0,34.0,100.0,440.0,"Thu, 09 Aug 2018 15:10:08 GMT",True,"Thu, 09 Aug 2018 22:29:38 GMT",1.0
6641,2_39_131_30_2018-08-10 11:07:40.616820,"Fri, 10 Aug 2018 11:07:41 GMT","Fri, 10 Aug 2018 11:40:27 GMT","Fri, 10 Aug 2018 11:37:02 GMT",2.417,000000067,250.0,60.0,240.0,368.0,"Fri, 10 Aug 2018 11:10:37 GMT",True,"Fri, 10 Aug 2018 17:15:41 GMT",1.0
6681,2_39_125_21_2018-08-10 17:26:08.042190,"Fri, 10 Aug 2018 17:26:08 GMT","Sat, 11 Aug 2018 00:28:24 GMT","Sat, 11 Aug 2018 00:28:17 GMT",43.605,000000216,250.0,50.0,200.0,556.0,"Fri, 10 Aug 2018 17:26:31 GMT",True,"Sat, 11 Aug 2018 02:42:08 GMT",2.0
6733,2_39_92_436_2018-08-11 16:12:37.631060,"Sat, 11 Aug 2018 16:12:38 GMT","Sun, 12 Aug 2018 00:29:34 GMT","Sat, 11 Aug 2018 23:11:56 GMT",43.266,000000043,217.0,43.4,200.0,469.0,"Sat, 11 Aug 2018 16:14:08 GMT",True,"Sun, 12 Aug 2018 00:01:38 GMT",1.0
6769,2_39_79_381_2018-08-12 16:42:01.237371,"Sun, 12 Aug 2018 16:42:01 GMT","Sun, 12 Aug 2018 21:35:08 GMT","Sun, 12 Aug 2018 20:13:33 GMT",22.38,000000248,250.0,12.5,50.0,316.0,"Sun, 12 Aug 2018 16:42:22 GMT",True,"Sun, 12 Aug 2018 21:58:01 GMT",0.0
6776,2_39_126_20_2018-08-12 20:12:30.059861,"Sun, 12 Aug 2018 20:12:30 GMT","Sun, 12 Aug 2018 21:37:14 GMT","Sun, 12 Aug 2018 21:38:12 GMT",6.753,000000250,200.0,36.0,180.0,60.0,"Sun, 12 Aug 2018 20:13:38 GMT",True,"Sun, 12 Aug 2018 21:12:30 GMT",0.0
6820,2_39_78_361_2018-08-13 15:08:39.933762,"Mon, 13 Aug 2018 15:08:40 GMT","Mon, 13 Aug 2018 22:45:58 GMT","Mon, 13 Aug 2018 18:52:10 GMT",10.579,000000232,400.0,32.0,80.0,57.0,"Mon, 13 Aug 2018 15:09:44 GMT",True,"Mon, 13 Aug 2018 16:05:40 GMT",1.0
6822,2_39_131_30_2018-08-13 15:12:25.573271,"Mon, 13 Aug 2018 15:12:26 GMT","Tue, 14 Aug 2018 00:14:09 GMT","Mon, 13 Aug 2018 18:50:00 GMT",14.56,000000162,340.0,17.0,50.0,233.0,"Mon, 13 Aug 2018 15:12:56 GMT",True,"Mon, 13 Aug 2018 19:05:26 GMT",1.0
6948,2_39_79_379_2018-08-14 22:31:34.671550,"Tue, 14 Aug 2018 22:31:35 GMT","Wed, 15 Aug 2018 00:51:47 GMT","Wed, 15 Aug 2018 00:51:42 GMT",11.334,000000069,400.0,40.0,100.0,159.0,"Tue, 14 Aug 2018 22:33:52 GMT",True,"Wed, 15 Aug 2018 01:10:35 GMT",2.0
6956,2_39_83_387_2018-08-15 00:27:29.079139,"Wed, 15 Aug 2018 00:27:29 GMT","Wed, 15 Aug 2018 03:09:07 GMT","Wed, 15 Aug 2018 02:57:29 GMT",8.469,000000176,300.0,15.0,50.0,145.0,"Wed, 15 Aug 2018 00:28:26 GMT",True,"Wed, 15 Aug 2018 02:52:29 GMT",1.0
7081,2_39_123_23_2018-08-16 14:35:51.648250,"Thu, 16 Aug 2018 14:35:52 GMT","Thu, 16 Aug 2018 15:41:37 GMT","Thu, 16 Aug 2018 15:39:13 GMT",5.018,000000259,400.0,8.0,20.0,60.0,"Thu, 16 Aug 2018 14:40:15 GMT",True,"Thu, 16 Aug 2018 15:35:52 GMT",1.0
7171,2_39_88_24_2018-08-17 15:20:36.024380,"Fri, 17 Aug 2018 15:20:36 GMT","Sat, 18 Aug 2018 00:59:22 GMT","Sat, 18 Aug 2018 00:59:09 GMT",47.614,000000022,350.0,56.0,160.0,558.0,"Fri, 17 Aug 2018 15:21:14 GMT",True,"Sat, 18 Aug 2018 00:38:36 GMT",2.0
7228,2_39_79_379_2018-08-18 00:36:33.990253,"Sat, 18 Aug 2018 00:36:34 GMT","Sat, 18 Aug 2018 03:56:41 GMT","Sat, 18 Aug 2018 03:56:37 GMT",21.434,000000232,250.0,27.5,110.0,220.0,"Sat, 18 Aug 2018 00:38:41 GMT",True,"Sat, 18 Aug 2018 04:16:34 GMT",1.0
7248,2_39_139_28_2018-08-18 08:34:47.635207,"Sat, 18 Aug 2018 08:34:48 GMT","Sat, 18 Aug 2018 15:35:45 GMT","Sat, 18 Aug 2018 13:51:13 GMT",16.378,000000242,286.0,20.02,70.0,337.0,"Sat, 18 Aug 2018 08:38:03 GMT",True,"Sat, 18 Aug 2018 14:11:48 GMT",1.0
7287,2_39_127_19_2018-08-19 00:05:23.655745,"Sun, 19 Aug 2018 00:05:24 GMT","Sun, 19 Aug 2018 16:48:58 GMT","Sun, 19 Aug 2018 04:49:35 GMT",15.567,000000242,286.0,20.02,70.0,385.0,"Sun, 19 Aug 2018 00:06:31 GMT",True,"Sun, 19 Aug 2018 06:30:24 GMT",1.0
7295,2_39_130_31_2018-08-19 01:19:53.349928,"Sun, 19 Aug 2018 01:19:53 GMT","Sun, 19 Aug 2018 03:19:18 GMT","Sun, 19 Aug 2018 03:19:09 GMT",12.518,000000216,250.0,62.5,250.0,148.0,"Sun, 19 Aug 2018 01:20:28 GMT",True,"Sun, 19 Aug 2018 03:47:53 GMT",2.0
7317,2_39_95_27_2018-08-19 15:21:36.769953,"Sun, 19 Aug 2018 15:21:37 GMT","Sun, 19 Aug 2018 17:21:56 GMT","Sun, 19 Aug 2018 17:21:52 GMT",13.439,000000231,400.0,8.0,20.0,60.0,"Sun, 19 Aug 2018 15:21:48 GMT",True,"Sun, 19 Aug 2018 16:21:37 GMT",0.0
7353,2_39_78_361_2018-08-20 00:11:24.877058,"Mon, 20 Aug 2018 00:11:25 GMT","Mon, 20 Aug 2018 04:37:43 GMT","Mon, 20 Aug 2018 04:37:42 GMT",28.63,000000058,300.0,90.0,300.0,590.0,"Mon, 20 Aug 2018 00:11:50 GMT",True,"Mon, 20 Aug 2018 10:01:25 GMT",1.0
7365,2_39_129_17_2018-08-20 04:43:47.766292,"Mon, 20 Aug 2018 04:43:48 GMT","Mon, 20 Aug 2018 14:47:11 GMT","Mon, 20 Aug 2018 08:56:19 GMT",14.464,000000242,286.0,17.16,60.0,384.0,"Mon, 20 Aug 2018 04:44:57 GMT",True,"Mon, 20 Aug 2018 11:07:48 GMT",1.0
7383,2_39_130_31_2018-08-20 15:05:45.197569,"Mon, 20 Aug 2018 15:05:45 GMT","Mon, 20 Aug 2018 23:31:13 GMT","Mon, 20 Aug 2018 23:31:01 GMT",20.054,000000162,340.0,17.0,50.0,410.0,"Mon, 20 Aug 2018 15:06:10 GMT",True,"Mon, 20 Aug 2018 21:55:45 GMT",1.0
7421,2_39_90_26_2018-08-20 19:55:50.779161,"Mon, 20 Aug 2018 19:55:51 GMT","Mon, 20 Aug 2018 23:28:34 GMT","Mon, 20 Aug 2018 23:28:29 GMT",7.47,000000280,300.0,6.0,20.0,60.0,"Mon, 20 Aug 2018 19:56:37 GMT",True,"Mon, 20 Aug 2018 20:55:51 GMT",0.0
7459,2_39_127_19_2018-08-21 05:26:55.614973,"Tue, 21 Aug 2018 05:26:56 GMT","Tue, 21 Aug 2018 14:42:58 GMT","Tue, 21 Aug 2018 09:29:13 GMT",27.087,000000259,400.0,40.0,100.0,554.0,"Tue, 21 Aug 2018 05:27:02 GMT",True,"Tue, 21 Aug 2018 14:40:56 GMT",1.0
7515,2_39_123_23_2018-08-22 00:16:26.240170,"Wed, 22 Aug 2018 00:16:26 GMT","Wed, 22 Aug 2018 03:10:25 GMT","Wed, 22 Aug 2018 03:10:21 GMT",19.176,000000216,250.0,42.5,170.0,135.0,"Wed, 22 Aug 2018 00:17:02 GMT",True,"Wed, 22 Aug 2018 02:31:26 GMT",2.0
7529,2_39_127_19_2018-08-22 03:12:59.127732,"Wed, 22 Aug 2018 03:12:59 GMT","Wed, 22 Aug 2018 07:48:31 GMT","Wed, 22 Aug 2018 07:44:48 GMT",29.772,000000259,400.0,40.0,100.0,198.0,"Wed, 22 Aug 2018 03:15:18 GMT",True,"Wed, 22 Aug 2018 06:30:59 GMT",1.0
7535,2_39_123_23_2018-08-22 04:27:15.866123,"Wed, 22 Aug 2018 04:27:16 GMT","Wed, 22 Aug 2018 15:04:25 GMT","Wed, 22 Aug 2018 08:29:33 GMT",13.658,000000242,286.0,17.16,60.0,464.0,"Wed, 22 Aug 2018 04:27:18 GMT",True,"Wed, 22 Aug 2018 12:11:16 GMT",1.0
7558,2_39_129_17_2018-08-22 15:25:05.683854,"Wed, 22 Aug 2018 15:25:06 GMT","Wed, 22 Aug 2018 23:46:10 GMT","Wed, 22 Aug 2018 23:45:59 GMT",17.5,000000162,340.0,6.8,20.0,239.0,"Wed, 22 Aug 2018 15:26:17 GMT",True,"Wed, 22 Aug 2018 19:24:06 GMT",1.0
7567,2_39_128_18_2018-08-22 15:46:14.658501,"Wed, 22 Aug 2018 15:46:15 GMT","Wed, 22 Aug 2018 23:21:12 GMT","Wed, 22 Aug 2018 23:21:08 GMT",24.856,000000273,267.0,64.08,240.0,418.0,"Wed, 22 Aug 2018 15:50:51 GMT",True,"Wed, 22 Aug 2018 22:44:15 GMT",0.0
7626,2_39_138_29_2018-08-23 03:22:23.764648,"Thu, 23 Aug 2018 03:22:24 GMT","Thu, 23 Aug 2018 14:46:38 GMT","Thu, 23 Aug 2018 09:00:34 GMT",36.774,000000259,325.0,74.75,230.0,335.0,"Thu, 23 Aug 2018 03:27:20 GMT",True,"Thu, 23 Aug 2018 08:57:24 GMT",1.0
7695,2_39_131_30_2018-08-24 01:02:42.470734,"Fri, 24 Aug 2018 01:02:42 GMT","Fri, 24 Aug 2018 09:57:31 GMT","Fri, 24 Aug 2018 06:08:57 GMT",16.115,000000242,286.0,17.16,60.0,646.0,"Fri, 24 Aug 2018 01:03:23 GMT",True,"Fri, 24 Aug 2018 11:48:42 GMT",1.0
